sequence,record_type,poi_name,found_date,location_displayed,sender,screenshot_path,original_filename,sha256,byte_identical_occurrence_group,rating,recommendation,research_confidence,research_status,research_summary,confirmed_facts,inferences,unresolved_questions,source_urls,star_visible_in_screenshot,deletion_toast_visible,chat_occurrences,screenshot_notes,notes_from_insertion
93,postcard,鉄のドンキホーテ,2026-03-22,"Setagaya, Sangenjaya 1-Chōme",,screenshots/093_2026-03-22_鉄のドンキホーテ.png,62805cc8-7fe6-4980-9db1-458796bfd4ac.png,8e9bb0abd7b66406a8a039dd26a703a3f4a57033efb82b77476a731ea6488772,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Map-plus-card view.,
94,postcard,鉄のドンキホーテ,2026-03-22,"Setagaya, Sangenjaya 1-Chōme",,screenshots/094_2026-03-22_鉄のドンキホーテ.png,9ef4a804-baf7-47c7-9cd5-ed731334b16f.png,853bad83a592b920be3ade8ee6d23ebe7d13b4c68bf63c55500968313536186f,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Full detail view.,
95,postcard,龍雲寺 墓地,2026-03-28,"Setagaya, Nozawa 1-Chōme",,screenshots/095_2026-03-28_龍雲寺-墓地.jpeg,B9C9ACBF-7BF9-4600-A0B6-D5A85B744691.jpeg,cb022b0419b05ac5b2abab53e478931eae9400a4d8a519d694c1dff07ce63712,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
96,postcard,おじいさんの後ろ姿,2026-03-28,"Setagaya, Nozawa 4-Chōme",,screenshots/096_2026-03-28_おじいさんの後ろ姿.jpeg,2E8E3121-6709-414F-91F3-80D991CAE9DF.jpeg,28b23f29e098ba790a73fe447800998d178eee4b86e8892cae930f1d06badae6,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
97,postcard,水牆,2026-04-04,"Tianfu, Shilin District",,screenshots/097_2026-04-04_水牆.png,6442A3BB-7564-44D2-8ECF-40F568CB7730.png,f5f0d2ef93c86b69fcb6d53fd6afd6f48bb68831ad31f0e120da8d6f58887321,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
98,postcard,旧岩崎邸 小さな灯籠,2026-04-03,"Taito, Ikenohata 1-Chōme",のすけ,screenshots/098_2026-04-03_旧岩崎邸-小さな灯籠.jpeg,A580AAA1-B66F-4F29-91C6-B369409E3EB2.jpeg,ce5c63004e3903ac77afcdbe7a6d2188abbec50f67f543ab764ea6d5835e83e3,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
99,postcard,カラフルなインフォメーション,2026-04-06,"Kawasaki, Hisamoto 3-Chōme",りゅう,screenshots/099_2026-04-06_カラフルなインフォメーション.jpeg,727EB14E-9DCF-41FF-BBB1-4EA6AC306573.jpeg,97a7e76b415aa4694bcd9932720c97f1b80bd7aa1a4d2eda40dd331084ac72da,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
100,postcard,マスオさんのポール,2026-04-08,"Setagaya, Sakurashimmachi 1-Chōme",のすけ,screenshots/100_2026-04-08_マスオさんのポール.jpeg,9663E73F-5FA6-493D-9E8C-82B03EADA873.jpeg,17ecbd7ea6bc3187c27f4c50537435ef50b0ef7d9930db321f75a9cb4ce3070f,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
101,postcard,Doggy,2026-04-10,"Zhongyang, Beitou District",,screenshots/101_2026-04-10_Doggy.jpeg,9F3C6070-5F3B-486D-AA17-1C52DD827A6F.jpeg,48c07c7afb81f72401538a3f8bc9c10f30c8aa428a602e1314d5fa2681058ef5,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
102,postcard,日吉神社（敦賀市市橋）,2026-04-11,"Tsuruga, Ichihashi",,screenshots/102_2026-04-11_日吉神社（敦賀市市橋）.jpeg,1BBE6B27-B8E3-4739-A1AC-2AA4EB415CF2.jpeg,e842995908cd67afefb7a8c9834f7fc663371436abc58f827e170734f42b90e7,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
103,postcard,駒沢ガーデンハウス,2026-04-18,"Setagaya, Komazawa 1-Chōme",,screenshots/103_2026-04-18_駒沢ガーデンハウス.png,95894fc9-85b8-414c-80ee-8b701b660bd1.png,e1fe04d9d58827f128cfa9ea39049dd68aae44e23b66b2c7cb0bca4ab02ddff7,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Later distinct screenshot of same POI.,
104,postcard,Keelung River Bikeway Map,2026-04-18,"Baxian, Beitou District",,screenshots/104_2026-04-18_Keelung-River-Bikeway-Map.png,c70a3c4b-8bb9-4e46-82ae-b229a9d63181.png,2130c74a24ea8315114769839c1b0e5e2ccdf97501f9364f3e9b58f2a6dc7d63,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Later distinct screenshot of same POI.,
105,postcard,拖鞋咖啡,2026-04-18,"Datong, Beitou District",,screenshots/105_2026-04-18_拖鞋咖啡.png,8cfd19f9-71dc-4fbe-9baa-31b53ea756ef.png,9bcd69568b2a6e5ddc066ff0b14696b45e2b61821bb6bd3df437bd0c4cc27941,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Later distinct screenshot of same POI.,
106,postcard,シーサー@上馬3,2026-04-19,"Setagaya, Kamiuma 3-Chōme",,screenshots/106_2026-04-19_シーサー@上馬3.png,fe27e8d2-e9f8-43f6-8557-76354319dea4.png,256c1883e179b26f762489cc68cbc22623e89964b26e1298a78fcfdf98ac7998,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Later distinct screenshot of same POI.,
107,postcard,羊マット,2026-04-19,"Shibuya, Ebisu Nishi 1-Chōme",,screenshots/107_2026-04-19_羊マット.png,3ab1f04a-62df-4313-bfe1-82bb5038a76a.png,42df73a03377bb9add800f4c39469c7e861a7e2639a55e5773c2260a15ca4def,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Later distinct screenshot of same POI.,
108,postcard,田舎館村埋蔵文化財センター,2026-03-25,"Inakadate, Takahi Omagari",,screenshots/108_2026-03-25_田舎館村埋蔵文化財センター.png,543df2d7-47a4-41a0-86c5-a9e01921bcde.png,2617e3e0a5063237968f2feb966ec74efc9ebdb4686256bb5bec5b54d4f6fca0,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,Later distinct screenshot of same POI.,
109,postcard,全国小売酒販会館案内図,2026-04-20,"(35.6443480, 139.7052670)",,screenshots/109_2026-04-20_全国小売酒販会館案内図.png,33460661-16dc-4283-b413-8131ca1f94b5.png,0558391542ef2ac46f7875e71d7ce43f7bbad15bce86bd8cbc202ad05fa87407,,★★★½～★★★★☆,偏留／可犧牲；若有同地點更具代表性的建物或銘板照可替代,high,preserved_detail_from_visible_session_context,照片中的 POI 是東京中目黑一帶全国小売酒販会館基地的平面導覽圖；Wayspot 名稱字面正確，但照片主體只是案內圖。會館是全国小売酒販組合中央会等酒販相關組織長期使用的全國性據點，中央會依酒類業組合法設立，負責酒販業政策、法規、研修等。相關組織亦在同址經營組合員福利住宿設施。2012 年中央會曾進入民事再生程序並處理會館權益；之後仍持續在此運作。收藏價值主要來自日本酒販業的制度與產業史，而非案內圖本身。,現址與全国小売酒販組合中央会官方地址相符 | 中央會為酒類零售業的全國性法定業界組織 | 同址有酒販相關福利與組織設施 | 2012年中央會曾有民事再生與會館資產處理紀錄,若未來收到同地點的建築本體或歷史銘板，可更好承載同一故事,照片中的這塊案內圖本身設置年份與設計背景未查得,https://ajlma.or.jp/outline/access?utm_source=chatgpt.com | https://ajlma.or.jp/outline/greeting?utm_source=chatgpt.com | https://ajlma.or.jp/outline?utm_source=chatgpt.com | https://ajlma.or.jp/training-e?utm_source=chatgpt.com | https://www.nrib.go.jp/gui/pdf/H15komoku.pdf?utm_source=chatgpt.com | https://www.zensyukyo.or.jp/ebisuryo/?utm_source=chatgpt.com | https://www.zensyukyo.or.jp/?utm_source=chatgpt.com | https://www.jsnews.co.jp/shuhan/backno/2012.html?utm_source=chatgpt.com | https://osaka-shuhan.jimdofree.com/app/download/12307215091/2026%E5%B9%B47%E6%9C%88%E5%8F%B7.pdf?t=1784260859&utm_source=chatgpt.com,False,False,,Later distinct screenshot; location rendered as coordinates.,
110,postcard,野獸巨人,2026-04-22,"Puxin Village, Dayuan District",,screenshots/110_2026-04-22_野獸巨人.png,b01bf2c5-466e-4740-b0d5-10e697aa6039.png,267e54832882976bb092979633ee002fe5751c533d85d719e90d744ad4d46f21,,★★★☆☆,可留但偏刪；先不要急著刪亦可,medium,preserved_detail_from_visible_session_context,高度可能位於桃園機場內、接近第一航廈／原住民族工藝展示脈絡的室內動物剪影或展示造景。『野獸巨人』看起來是 Wayspot 提交者的趣味命名，並非查得到的正式作品名，也看不出與《進擊的巨人》獸之巨人有關。曾比對桃機的木育森林、編織之森、野獸國等現有設施，外觀並不吻合；因此可能是較早期或已改裝消失的機場造景。若能確認為舊版候機區設計，其舊景觀紀錄價值會上升。,地點標示為桃園大園區埔心里 | 桃園機場長期存在以台灣自然／原住民族與野生動物為題的候機與展示設計,這面牆可能屬於桃園機場較早期的自然／動物主題造景 | 『野獸巨人』可能是玩家自取名,確切航廈、登機門、作品名、設計者與設置年份未確認,https://www.wooderfulland.com/News/NewsDetail/252 | https://www.wooderfullife.com/Newsdetail/NewsDetail/252?utm_source=chatgpt.com | https://www.jeancard.com/UploadFiles/news/new_230727134216895.jpg | https://www.everrich-group.com/events/brands/34220?utm_source=chatgpt.com,False,False,,,
111,postcard,1-st Director UB Railway,2026-03-15,Ulaanbaatar,柳柳,screenshots/111_2026-03-15_1-st-Director-UB-Railway.png,1f27e758-9802-41f0-a0ab-e69078728dc7.png,8c965a529bf7656a5265d3f532911d398cc988c071c78a0eeb044f7ce308b50e,,★★★★★,一定留／核心收藏,high,preserved_detail_from_visible_session_context,Wayspot 英文名很可能誤導。以地點與 Ulaanbaatar Railway（УБТЗ）官方史料交叉比對，胸像指向蒙古鐵路重要人物 Navaanjambyn Tserennorov（Н. Цэрэнноров）。他不是 UBTZ 第一任總經理，而是蒙古最早一代本國鐵路工程人才之一，曾任烏蘭巴托機車段第一位蒙古籍主任，並長期擔任第一副總經理。『1-st Director』很可能把蒙古文第一副主任／第一副總經理簡化誤譯。UBTZ 在重大週年會向其紀念像獻花，因此它具有正式產業紀念地性質，能連結蒙古鐵路本土化與俄蒙中交通史。,胸像位於 UBTZ 管理局庭園脈絡 | Tserennorov 是蒙古早期本國鐵路工程領導者並長期任第一副總經理 | UBTZ 歷史紀念活動曾向其像獻花,Wayspot 名稱中的 1-st Director 可能來自對『第一副總經理』的簡化／誤譯,Wayspot 提交時的原始命名依據未取得,https://ganzam.mn/news/ug-n-xatuu-c-uilsiig-min-tegsildeg-actan-bailaa-ta?utm_source=chatgpt.com | https://ganzam.mn/news/martaz-boloxgui-odor?utm_source=chatgpt.com | https://www.ganzam.mn/news/ubtz-xnn-75-ziliin-oigooroo-xodolmoriin-baatar-col-xurtlee?utm_source=chatgpt.com | https://ganzam.mn/news/uner-n-xurtel-saixan-dursamz | https://ganzam.mn/news/ulaanbaatar-tomor-zamyn-tuux | https://ikon.mn/n/1ce8?utm_source=chatgpt.com,True,False,,,
112,postcard,中国同盟会発祥の地,2026-04-24,"Minato, Toranomon 2-Chōme",,screenshots/112_2026-04-24_中国同盟会発祥の地.png,ec207de6-a5e0-409a-a624-320bbc1955aa.png,a2429a4b8b4fa4f4f83266244c378d01132ac59dcd9e81541a55956e9b8e8c7f,112 | 113,★★★★★,核心收藏／一定留,high,preserved_detail_from_visible_session_context,紀念的是 1905 年 8 月 20 日中國同盟會在東京虎之門一帶成立的歷史現場。孫文、黃興等革命派整合興中會、華興會等力量，形成辛亥革命前最重要的革命組織之一；其組織史後來亦接到國民黨。現址在 The Okura Tokyo 附近，碑為近代新設紀念物，但地點與大倉喜八郎邸／坂本金弥邸相關的成立現場範圍相連。研究中也特別區分：同盟會是辛亥革命的重要組織母體，但武昌起義不是由孫文在同盟會中央直接下令發動。,1905-08-20 中國同盟會在東京成立 | 孫文被推為總理 | 同盟會是辛亥革命前重要革命組織並是後來國民黨組織史的重要源流 | 現地有發祥紀念碑,此碑非常適合作為東亞20世紀政治史的核心收藏,碑與當年建物精確平面位置的細部對應可再由歷史地籍深化,https://www.jacar.go.jp/exhibition/modernjapan/p06.html?utm_source=chatgpt.com | https://note.com/kuroda0805/n/nac34970c8dcd?utm_source=chatgpt.com | https://hotyuweb.blog.fc2.com/blog-entry-1611.html?utm_source=chatgpt.com | https://www.jstage.jst.go.jp/article/nujlp/302/0/302_302.1/_pdf/-char/en?utm_source=chatgpt.com | https://dl.ndl.go.jp/view/download/digidepo_3050793_po_geppo1105.pdf?contentNo=1&utm_source=chatgpt.com | https://www.jacar.go.jp/exhibition/universalsuffrage/chapter4/?utm_source=chatgpt.com,True,False,user turn 83 | user turn 84 repeated byte-identical screenshot,,
113,postcard,中国同盟会発祥の地,2026-04-24,"Minato, Toranomon 2-Chōme",,screenshots/113_2026-04-24_中国同盟会発祥の地.png,b8b8a761-eab7-41f9-8f45-af0173f33316.png,a2429a4b8b4fa4f4f83266244c378d01132ac59dcd9e81541a55956e9b8e8c7f,112 | 113,★★★★★,核心收藏／一定留,high,preserved_detail_from_visible_session_context,紀念的是 1905 年 8 月 20 日中國同盟會在東京虎之門一帶成立的歷史現場。孫文、黃興等革命派整合興中會、華興會等力量，形成辛亥革命前最重要的革命組織之一；其組織史後來亦接到國民黨。現址在 The Okura Tokyo 附近，碑為近代新設紀念物，但地點與大倉喜八郎邸／坂本金弥邸相關的成立現場範圍相連。研究中也特別區分：同盟會是辛亥革命的重要組織母體，但武昌起義不是由孫文在同盟會中央直接下令發動。,1905-08-20 中國同盟會在東京成立 | 孫文被推為總理 | 同盟會是辛亥革命前重要革命組織並是後來國民黨組織史的重要源流 | 現地有發祥紀念碑,此碑非常適合作為東亞20世紀政治史的核心收藏,碑與當年建物精確平面位置的細部對應可再由歷史地籍深化,https://www.jacar.go.jp/exhibition/modernjapan/p06.html?utm_source=chatgpt.com | https://note.com/kuroda0805/n/nac34970c8dcd?utm_source=chatgpt.com | https://hotyuweb.blog.fc2.com/blog-entry-1611.html?utm_source=chatgpt.com | https://www.jstage.jst.go.jp/article/nujlp/302/0/302_302.1/_pdf/-char/en?utm_source=chatgpt.com | https://dl.ndl.go.jp/view/download/digidepo_3050793_po_geppo1105.pdf?contentNo=1&utm_source=chatgpt.com | https://www.jacar.go.jp/exhibition/universalsuffrage/chapter4/?utm_source=chatgpt.com,True,False,user turn 83 | user turn 84 repeated byte-identical screenshot,,Byte-identical repeat upload of immediately preceding 中国同盟会発祥の地 screenshot.
114,postcard,割烹 貝作,2026-04-24,"Minato, Akasaka 2-Chōme",,screenshots/114_2026-04-24_割烹-貝作.png,e87c5029-3d57-43a3-b065-9374ebd48cba.png,966cf08535be841ce6fb03af5698f7f239c885e3e4b3d99e5c45cf0aefe86d04,,★★★★☆～★★★★½,留,high,preserved_detail_from_visible_session_context,赤坂的老牌高級貝料理割烹。店家 1975 年在赤坂開業，其淵源可追至 1931 年靜岡的貝類批發業；料理定位並非後來包裝，而是承接貝類流通背景。店面是一軒家、入口極低調，傳統接待動線與私人包廂文化本身就是赤坂料亭／接待型飲食文化的一部分。網路另有《島耕作》相關說法，但在對話中未找到講談社／作者一手資料，因此只保留為未證實傳聞。,1975 年赤坂開業 | 前身可追溯至 1931 年靜岡貝類批發業 | 以天然鮑與多種貝料理為主 | 店面與包廂動線刻意低調、重視隱私,照片中的低調木門反而很能代表店的接待文化,早期搬遷到現址的精確年月未確認 | 《島耕作》具體出現話數／官方確認未找到,https://tabelog.com/tokyo/A1308/A130801/13015201/ | https://megumi-k2.wixsite.com/mysite-2/post/%E8%B2%9D%E4%BD%9C-%E8%B5%A4%E5%9D%82?utm_source=chatgpt.com | https://tabelog.com/tokyo/A1308/A130801/13015201/dtlrvwlst/B111253682/?utm_source=chatgpt.com | https://tabelog.com/tokyo/A1308/A130801/13015201/dtlrvwlst/B500410084/?type=0&utm_source=chatgpt.com,False,False,,,
115,postcard,雪だるま,2026-04-23,"Meguro, Minami 3-Chōme",カニカニ,screenshots/115_2026-04-23_雪だるま.png,85faf9c5-ffe8-4926-9274-7654c55e6da9.png,479238fbc39f97bcc7ed4d4dba04864a6d54a6a7909f289447285d9b96e1f1bb,,★★☆☆☆～★★★☆☆,偏刪,medium,preserved_detail_from_visible_session_context,目黑區南三丁目一扇棕色鐵捲門上的簡單白色雪人。查不到正式作品名、作者、店家、公共藝術計畫或地方文化資產紀錄；『雪だるま』幾乎可視為玩家描述性命名。它的價值主要是容易消失的私人街景／城市微型紀錄，而非可考證的單件作品史。若日後能查到固定店家傳統或作者，才可能翻案。,照片主體是鐵捲門上的雪人圖樣 | 未找到能對應這件圖樣的正式公共藝術資料,可能是屋主、店家或私人裝飾 | Wayspot 名稱大概只是描述性命名,作者、年代、店家身分與命名由來未知,https://www.city.meguro.tokyo.jp/bunka/bunkasports/kouryu/hekiga2023.html?utm_source=chatgpt.com | https://hotpepper.jp/strJ000134436/?utm_source=chatgpt.com,False,False,,,
116,postcard,竹塹泗宇壇,,"Qianxi, East District",,screenshots/116_unknown-date_竹塹泗宇壇.png,dcfdd361-ee88-48a8-9796-d3924b51235d.png,a945b7f8656e431adf9ae2209a1ab5cddc4a5c14039d2221db982b7a759b7e9f,,★★★★☆～★★★★½,留,medium-high,preserved_detail_from_visible_session_context,新竹在地私人壇，對外多以『三澤會』名義交陪。2026 年正逢約十五週年，舉辦祈安巡城遶境；可見新豐、花蓮等分會／交陪網絡。信仰核心至少包括關聖帝君與李府千歲，且有徒步謁祖至雲林四湖參天宮、水林豐德宮的紀錄。這張的價值不在古老，而在記錄一個約 2011 年前後形成、仍在擴張中的 21 世紀台灣民間信仰網絡。,資料稱其為新竹在地私人壇 | 對外使用三澤會名義 | 2026年有十五週年大型活動 | 關聖帝君與李府千歲是重要神祇 | 存在跨縣市交陪與徒步謁祖紀錄,關帝與李府千歲香火祖脈高度可能分別連到四湖參天宮與水林豐德宮,正式沿革、確切創壇日與各神尊分靈文書未找到,https://hccg.culture.tw/home/zh-tw/CCHM_soc/150121?utm_source=chatgpt.com | https://www.facebook.com/100064089751398/posts/1471756148304030/?utm_source=chatgpt.com | https://www.facebook.com/100064089751398/posts/1471368595009452/?utm_source=chatgpt.com | https://www.facebook.com/hsmeihui/posts/1035508015735877/?utm_source=chatgpt.com | https://www.facebook.com/BlackPhotographyCollect/videos/1165171425612954/?utm_source=chatgpt.com | https://tcmb.culture.tw/zh-tw/detail?id=620158&indexCode=Culture_Place&utm_source=chatgpt.com | https://www.instagram.com/p/CyLAaetCI5B/?utm_source=chatgpt.com,False,False,,,
117,postcard,古町名標柱 元寺町,2026-03-28,"Hirosaki, Mototeramachi",柳柳,screenshots/117_2026-03-28_古町名標柱-元寺町.png,e39019e2-3247-43db-9a95-c255b285be66.png,ca389e0230727840aa6c17263f60628d02ccb939df4a8a5e2b83a493f1be8812,,★★★★☆,留,high,preserved_detail_from_visible_session_context,弘前市官方設置的『古町名標柱』之一，用來保存江戶城下町的歷史地名。元寺町原為寺町；1649 年火災後，寺院在翌年前後集中移往新寺町，舊寺町轉成商人街，名稱後來成為元寺町。弘前市共設多處古町名標柱，讓現代街道直接承載舊城下的職業與空間分區歷史。,弘前市官方設置古町名標柱 | 元寺町地名源於舊寺町 | 1649年火災與其後寺院遷往新寺町是地名轉變核心,適合作為弘前城下町系列收藏的一張,,https://www.city.hirosaki.aomori.jp/gaiyou/rekishi/koto.html | https://www.city.hirosaki.aomori.jp/gaiyou/rekishi/koto2.html,False,False,,,
118,postcard,幕末と明治の博物館創立50周年記念碑,2026-04-27,"Oarai, Isohamacho",,screenshots/118_2026-04-27_幕末と明治の博物館創立50周年記念碑.png,8c32f5a6-8b4c-42a3-aa91-843b2342318d.png,cc8750aa63b519f1cf44c1afee87070f04833387d897cfbc5a2e077bc3907f7e,,★★★★½～★★★★★,留／偏核心,high,preserved_detail_from_visible_session_context,這塊碑原本更精確應理解為『常陽明治記念館創立五十周年記念碑』：1929-04-14 由幕末志士、後任宮內大臣的田中光顕創立常陽明治記念館；1979-04-14 正好五十年時舉行紀念典禮並揭碑。博物館 1997 年改名為幕末と明治の博物館，後來移交大洗町。館本身保存幕末維新人物文物，原始性格也帶有明治天皇與維新功臣顯彰意味；1932 年別館後來也成為登錄有形文化財。這張碑因揭幕日期、機構沿革與創辦人背景都能精確考證，收藏價值高。,常陽明治記念館1929-04-14創立 | 50週年碑1979-04-14揭幕 | 創辦人田中光顕是幕末志士且曾任宮內大臣 | 1997年改為現名 | 館內保存大量幕末明治文物,碑本身也已成為昭和時代如何紀念明治的歷史物件,,https://www.town.oarai.lg.jp/wp/wp-content/uploads/2024/11/1979%E5%B9%B46%E6%9C%8893%E5%8F%B7.pdf | https://www.bakumatsu-meiji.com/bm_about_us.html?utm_source=chatgpt.com | https://www.lib.pref.ibaraki.jp/licsxp-opac/WOpacMsgNewListToTifTilDetailAction.do?tilcod=1001000392722&utm_source=chatgpt.com | https://www.bakumatsu-meiji.com/bm_collection.html?utm_source=chatgpt.com | https://online.bunka.go.jp/heritages/detail/117394,False,False,,,
119,postcard,純白武士,2026-04-29,"Puxin Village, Dayuan District",,screenshots/119_2026-04-29_純白武士.png,9d367ba5-7caf-4047-be10-7b902ae25098.png,41fd7914936a9f816bbbaf1287abcffe147b6b17b206d69e783e0efec6196da5,,★★★☆☆,偏刪,medium,preserved_detail_from_visible_session_context,地點高度吻合桃園機場第一航廈 3F 非管制區的原住民精藝品／工藝展售脈絡。照片中的白色人物不像日本武士，更像泛化的原住民族勇士展示造景；目前找不到正式作品名稱、作者或公共藝術登錄，『純白武士』很可能是 Wayspot 玩家自取名。機場以原住民族文化作為國門展示的脈絡是真實的，但這一件單獨物件的身分不足。,桃園機場第一航廈有原住民精藝品展售空間 | 機場長期以原住民族工藝與文化作為展示內容,白色人物高度可能是該展售／展示空間的商業造景而非正式公共藝術 | 『純白武士』是玩家自取名,人物代表哪一族、設計者、設置年份、是否仍存在,https://www.taoyuan-airport.com/services_facilities/E6932FDB-1B95-EC11-80F5-000C29A1B907?utm_source=chatgpt.com | https://www.hty.com.tw/series.php?act=view&no=102 | https://publicart.tyccc.gov.tw/directory/listing/181?utm_source=chatgpt.com,False,False,,,
120,postcard,公園情趣椅2,,"Shezi, Shilin District",なつめ,screenshots/120_unknown-date_公園情趣椅2.png,1a97c7b9-d748-4f85-aca7-e011ec3d1711.png,3878bd94183a9b00fddf3df9db675b4174854c177f6ba372af6d6be3277f1eb5,,★★★½～★★★★☆,偏留,medium,preserved_detail_from_visible_session_context,本體只是社子里附近公園的一組成人體健設施，『公園情趣椅2』不是正式器材名稱，而是 Wayspot 提交者惡搞式命名。真正加分的是它已在 Pikmin Bloom 玩家社群中被當成荒謬 Wayspot 名稱的迷因，其他玩家也公開吐槽過同一張卡。若純看器材本身價值很低，但作為 Niantic 玩家文化與野生 POI 命名案例有收藏趣味。,照片是公園體健設施 | 『公園情趣椅2』並非查得到的官方設備名 | 社群上有人分享並吐槽同一 Wayspot 名稱,名稱是玩家看到器材造型後的惡搞命名；『2』暗示附近可能還有同系列 Wayspot,器材的精確官方型號、是否確在社子公園內未完全確認,https://www.threads.com/%4011.11_hung/post/DXqziaoEkKX/%E4%B8%8D%E6%98%AF%E5%95%8A-%E5%85%AC%E5%9C%92%E6%83%85%E8%B6%A3%E6%A4%85%E7%9A%AE%E5%85%8B%E6%95%8F%E6%80%8E%E9%BA%BC%E8%AE%8A%E6%88%90%E5%85%92%E7%AB%A5%E4%B8%8D%E5%AE%9C%E5%AE%98%E6%96%B9%E6%9C%89%E6%B2%92%E6%9C%89%E8%80%83%E6%85%AE%E6%94%B9%E5%80%8B%E5%90%8D%E7%A8%B1?utm_source=chatgpt.com | https://babybuild.tw/en/outdoor-fitness-equipment-guide/?utm_source=chatgpt.com | https://interlocution.weebly.com/36328300282639921002-interlocution/066,False,False,,,
